Question,Acurracy global,Precision_0,Recall_0,F1_score_0,Support_0,Precision_1,Recall_1,F1_score_1,Support_1,Precision_2,Recall_2,F1_score_2,Support_2
71,58.97435897435898,0.5,0.7272727272727273,0.5925925925925926,11,0.6,0.42857142857142855,0.5,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
72,53.84615384615385,0.4,0.5454545454545454,0.4615384615384615,11,0.5294117647058824,0.6428571428571429,0.5806451612903226,14,0.8571428571428571,0.42857142857142855,0.5714285714285714,14
73,51.28205128205128,0.375,0.5454545454545454,0.4444444444444444,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.8,0.5714285714285714,0.6666666666666666,14
74,66.66666666666666,0.625,0.9090909090909091,0.7407407407407406,11,0.7,0.5,0.5833333333333334,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
75,53.84615384615385,0.42857142857142855,0.5454545454545454,0.4799999999999999,11,0.45454545454545453,0.35714285714285715,0.4,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
76,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
77,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
78,58.97435897435898,0.47058823529411764,0.7272727272727273,0.5714285714285714,11,0.5833333333333334,0.5,0.5384615384615384,14,0.8,0.5714285714285714,0.6666666666666666,14
79,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
80,61.53846153846154,0.5625,0.8181818181818182,0.6666666666666666,11,0.6,0.42857142857142855,0.5,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
81,53.84615384615385,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7777777777777778,0.5,0.6086956521739131,14
82,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
83,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
84,46.15384615384615,0.29411764705882354,0.45454545454545453,0.35714285714285715,11,0.42857142857142855,0.42857142857142855,0.42857142857142855,14,0.875,0.5,0.6363636363636364,14
85,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
86,64.1025641025641,0.5714285714285714,0.7272727272727273,0.64,11,0.6363636363636364,0.5,0.56,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
87,53.84615384615385,0.4166666666666667,0.45454545454545453,0.43478260869565216,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
88,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
89,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
90,58.97435897435898,0.5384615384615384,0.6363636363636364,0.5833333333333334,11,0.5384615384615384,0.5,0.5185185185185186,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
91,53.84615384615385,0.4375,0.6363636363636364,0.5185185185185185,11,0.5,0.5,0.5,14,0.7777777777777778,0.5,0.6086956521739131,14
92,53.84615384615385,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7777777777777778,0.5,0.6086956521739131,14
93,64.1025641025641,0.5714285714285714,0.7272727272727273,0.64,11,0.6363636363636364,0.5,0.56,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
94,61.53846153846154,0.5,0.6363636363636364,0.56,11,0.5833333333333334,0.5,0.5384615384615384,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
95,53.84615384615385,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7777777777777778,0.5,0.6086956521739131,14
96,53.84615384615385,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5384615384615384,0.5,0.5185185185185186,14,0.75,0.42857142857142855,0.5454545454545454,14
97,53.84615384615385,0.4,0.5454545454545454,0.4615384615384615,11,0.5,0.5,0.5,14,0.8,0.5714285714285714,0.6666666666666666,14
98,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
99,64.1025641025641,0.5714285714285714,0.7272727272727273,0.64,11,0.6363636363636364,0.5,0.56,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
100,58.97435897435898,0.5,0.5454545454545454,0.5217391304347826,11,0.5384615384615384,0.5,0.5185185185185186,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
101,58.97435897435898,0.42857142857142855,0.5454545454545454,0.4799999999999999,11,0.5625,0.6428571428571429,0.6000000000000001,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,14
102,64.1025641025641,0.5714285714285714,0.7272727272727273,0.64,11,0.6363636363636364,0.5,0.56,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
